ID			Imag	Vmag	Period		Iamp	[Fe/H]		R21	R31	Phi21	Phi31	
OGLE-BLG-RRLYR-00681   17.13300   19.24600    0.47259    0.78000   -1.06623    0.47588    0.32222    4.10500    5.33059
OGLE-BLG-RRLYR-00685   16.71100   18.89200    0.52286    0.37300   -1.29698    0.41701    0.23890    4.11700    5.34959
OGLE-BLG-RRLYR-00690   16.27700   18.26500    0.57500    0.65400   -1.18261    0.55485    0.34854    4.37300    5.79859
OGLE-BLG-RRLYR-00691   17.26000   19.43500    0.62586    0.27800   -0.78426    0.41360    0.20389    4.74300    6.58459
OGLE-BLG-RRLYR-00693   17.16200   19.27500    0.49902    0.57200   -0.58440    0.55281    0.34433    4.51000    6.07259
OGLE-BLG-RRLYR-00695   16.56100   18.46600    0.44455    0.88000   -0.99879    0.49017    0.37310    4.07400    5.24559
OGLE-BLG-RRLYR-00697   16.29000   17.81800    0.52278    0.62200   -0.93898    0.48830    0.33629    4.49700    5.78359
OGLE-BLG-RRLYR-00698   16.80200   18.66000    0.44460    0.69600   -1.15069    0.45885    0.24092    4.05900    5.06159
OGLE-BLG-RRLYR-00701   16.08700   17.65200    0.58999    0.35700   -0.68588    0.42505    0.26559    4.61200    6.49059
OGLE-BLG-RRLYR-00702   17.19200   19.43300    0.44994    0.72100   -0.95603    0.47568    0.26422    4.15200    5.32959
OGLE-BLG-RRLYR-00705   16.29600   17.98400    0.59148    0.40600   -1.04172    0.43866    0.30685    4.50700    6.06759
OGLE-BLG-RRLYR-00708   16.08000   17.88000    0.53022    0.60600   -1.06198    0.48347    0.29458    4.28600    5.67859
OGLE-BLG-RRLYR-00709   14.96700   16.65200    0.83883    0.32800   -1.40059    0.40683    0.18797    5.04600    7.10359
OGLE-BLG-RRLYR-00711   17.10000   19.22200    0.49055    0.79300   -0.90708    0.60061    0.33765    4.27700    5.63059
OGLE-BLG-RRLYR-00713   16.26200   18.12700    0.58782    0.34200   -0.77906    0.45443    0.26122    4.63600    6.36459
OGLE-BLG-RRLYR-00715   17.05700   19.30800    0.57628    0.34400   -0.38628    0.43230    0.19766    4.89400    6.77259
OGLE-BLG-RRLYR-00716   16.46500   18.46300    0.48084    0.64300   -1.03086    0.45968    0.30801    4.17400    5.42259
OGLE-BLG-RRLYR-00720   16.95300   18.81500    0.55655    0.26400   -0.37280    0.30847    0.10013    4.74200    6.67159
OGLE-BLG-RRLYR-00721   16.96800   18.97200    0.51912    0.56500   -1.09656    0.46162    0.27151    4.25900    5.57059
OGLE-BLG-RRLYR-00726   18.25200   20.08100    0.58538    0.37100   -1.13133    0.52827    0.32286    4.44800    5.92259
